team,season,game_date,points,is_home,goals_for,goals_against,cum_points,games_played,elimination_date,clinch_date,trade_deadline
ANA,20232024,2023-11-30,0,TRUE,4,5,18,23,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-02,2,TRUE,4,3,20,24,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-05,0,FALSE,2,3,20,25,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-07,0,FALSE,0,1,20,26,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-10,0,TRUE,2,4,20,27,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-13,0,FALSE,3,4,20,28,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-15,0,FALSE,1,5,20,29,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-17,2,FALSE,5,1,22,30,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-18,2,FALSE,4,3,24,31,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-21,0,TRUE,0,3,24,32,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-23,0,TRUE,2,3,24,33,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-27,2,TRUE,5,2,26,34,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-29,0,TRUE,0,2,26,35,2024-02-25,NA,2024-03-08
ANA,20232024,2023-12-31,0,TRUE,2,7,26,36,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-03,1,TRUE,1,2,27,37,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-05,0,TRUE,1,3,27,38,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-07,0,TRUE,2,3,27,39,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-09,2,FALSE,5,3,29,40,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-11,0,FALSE,3,6,29,41,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-13,0,FALSE,1,5,29,42,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-15,2,FALSE,5,4,31,43,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-16,0,FALSE,0,2,31,44,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-20,0,FALSE,3,5,31,45,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-21,0,TRUE,2,5,31,46,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-23,2,TRUE,4,2,33,47,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-25,1,FALSE,3,4,34,48,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-27,2,FALSE,3,2,36,49,2024-02-25,NA,2024-03-08
ANA,20232024,2024-01-31,2,TRUE,3,2,38,50,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-09,0,TRUE,3,5,38,51,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-13,0,FALSE,0,5,38,52,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-15,2,FALSE,5,1,40,53,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-17,0,FALSE,2,9,40,54,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-19,2,FALSE,4,3,42,55,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-21,0,TRUE,4,7,42,56,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-24,1,FALSE,2,3,43,57,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-25,0,TRUE,2,4,43,58,2024-02-25,NA,2024-03-08
ANA,20232024,2024-02-29,2,FALSE,6,4,45,59,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-01,2,TRUE,4,3,47,60,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-03,0,TRUE,1,2,47,61,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-06,2,TRUE,2,1,49,62,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-08,0,TRUE,2,6,49,63,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-10,0,TRUE,1,6,49,64,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-12,0,FALSE,2,7,49,65,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-14,0,FALSE,0,2,49,66,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-15,0,FALSE,0,6,49,67,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-17,0,FALSE,2,4,49,68,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-19,0,TRUE,0,4,49,69,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-21,2,TRUE,4,0,51,70,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-24,1,TRUE,2,3,52,71,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-26,0,FALSE,0,4,52,72,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-28,0,FALSE,2,4,52,73,2024-02-25,NA,2024-03-08
